year,month,day,Qvic
1980,11,17,16.7477
1980,11,18,16.1713
1980,11,19,15.627
1980,11,20,15.1133
1980,11,21,14.6289
1980,11,22,14.1716
1980,11,23,13.7405
1980,11,24,13.3332
1980,11,25,12.9473
1980,11,26,12.58
1980,11,27,12.2304
1980,11,28,11.8984
1980,11,29,11.5835
1980,11,30,11.2822
1980,12,1,10.9933
1980,12,2,10.7149
1980,12,3,10.4439
1980,12,4,10.1763
1980,12,5,9.9098
1980,12,6,9.6481
1980,12,7,9.394
1980,12,8,9.149
1980,12,9,8.9134
1980,12,10,8.685
1980,12,11,8.4609
1980,12,12,8.2382
1980,12,13,8.0175
1980,12,14,7.7994
1980,12,15,7.5859
1980,12,16,7.3807
1980,12,17,7.1841
1980,12,18,6.9949
1980,12,19,6.8117
1980,12,20,6.6329
1980,12,21,6.4571
1980,12,22,6.2827
1980,12,23,6.1099
1980,12,24,5.9397
1980,12,25,5.7731
1980,12,26,5.6133
1980,12,27,5.4619
1980,12,28,5.3173
1980,12,29,5.1777
1980,12,30,5.042
1980,12,31,4.9101
1981,1,1,4.8633
1981,1,2,4.8
1981,1,3,4.8088
1981,1,4,4.6871
1981,1,5,4.5669
1981,1,6,4.4507
1981,1,7,4.3397
1981,1,8,4.2334
1981,1,9,4.1305
1981,1,10,4.0301
1981,1,11,3.9312
1981,1,12,3.8327
1981,1,13,3.7353
1981,1,14,3.6399
1981,1,15,3.5473
1981,1,16,3.4579
1981,1,17,3.371
1981,1,18,3.2865
1981,1,19,3.2047
1981,1,20,3.1265
1981,1,21,3.0514
1981,1,22,2.9792
1981,1,23,2.91
1981,1,24,2.8435
1981,1,25,2.7798
1981,1,26,2.7184
1981,1,27,2.6594
1981,1,28,2.6024
1981,1,29,2.5466
1981,1,30,2.4923
1981,1,31,2.4395
1981,2,1,2.3881
1981,2,2,2.3381
1981,2,3,2.2899
1981,2,4,2.2445
1981,2,5,2.2022
1981,2,6,2.1625
1981,2,7,2.1255
1981,2,8,2.0907
1981,2,9,2.0582
1981,2,10,2.0304
1981,2,11,2.2238
1981,2,12,2.4577
1981,2,13,2.2219
1981,2,14,1.9335
1981,2,15,1.8977
1981,2,16,1.8747
1981,2,17,1.852
1981,2,18,1.8299
1981,2,19,1.8083
1981,2,20,1.7873
1981,2,21,1.7671
1981,2,22,1.7477
1981,2,23,1.7285
1981,2,24,1.7096
1981,2,25,1.6911
1981,2,26,1.6727
1981,2,27,1.6548
1981,2,28,1.6373
1981,3,1,1.6204
1981,3,2,1.6038
1981,3,3,1.5879
