year,site,do18
1920,UPML,0.427850812
1921,UPML,0.376310626
1922,UPML,-0.134027392
1923,UPML,0.25448387
1924,UPML,0.292457376
1925,UPML,1.152646193
1926,UPML,-0.997106161
1927,UPML,0.456476064
1928,UPML,0.456123889
1929,UPML,0.646521008
1930,UPML,0.769129279
1931,UPML,-0.711992576
1932,UPML,-0.310536255
1933,UPML,-0.571590442
1934,UPML,-0.006153143
1935,UPML,-0.521892084
1936,UPML,0.993427574
1937,UPML,0.213687891
1938,UPML,-0.384205338
1939,UPML,0.47547444
1940,UPML,0.123335902
1941,UPML,-0.05554692
1942,UPML,-0.559997025
1943,UPML,0.76670766
1944,UPML,-0.955450882
1945,UPML,0.398452421
1946,UPML,0.435096897
1947,UPML,-0.152057355
1948,UPML,0.515464127
1949,UPML,-1.444694839
1950,UPML,-0.854937931
1951,UPML,-0.667677839
1952,UPML,0.314013376
1953,UPML,-0.666212619
1954,UPML,-1.109502166
1955,UPML,-0.63272224
1956,UPML,-0.589424804
1957,UPML,-0.584090101
1958,UPML,-0.932739617
1959,UPML,-0.765328206
1960,UPML,0.485590364
1961,UPML,-0.440691256
1962,UPML,-1.670771299
1963,UPML,-1.513948878
1964,UPML,-1.395830397
1965,UPML,0.697068227
1966,UPML,0.569196869
1967,UPML,0.426664653
1968,UPML,0.955871871
1969,UPML,-0.067190056
1970,UPML,-0.665898322
1971,UPML,0.266687905
1972,UPML,-0.231849102
1973,UPML,0.142622684
1974,UPML,-0.982593327
1975,UPML,-2.020828609
1976,UPML,-0.112074314
1977,UPML,1.32540174
1978,UPML,-1.009964416
1979,UPML,1.910140862
1980,UPML,0.079760243
1981,UPML,-0.057971801
1982,UPML,0.973566288
1983,UPML,0.024031142
1984,UPML,0.875275315
1985,UPML,0.247131411
1986,UPML,2.199947553
1987,UPML,0.959903793
1988,UPML,-0.772202315
1989,UPML,0.765523344
1990,UPML,0.304491792
1991,UPML,0.5445292
1992,UPML,1.741002944
1993,UPML,1.561567878
1994,UPML,0.721628991
1995,UPML,-0.970422848
1996,UPML,-0.646890508
1997,UPML,1.47346364
1998,UPML,0.832366687
1999,UPML,-0.004345103
