year,month,Qm
1975,7,346.9
1975,8,718.76
1975,9,894.5
1975,10,610.33
1975,11,354.85
1975,12,233.99
1976,1,103.08
1976,2,45.27
1976,3,23.19
1976,4,20.1
1976,5,84.5
1976,6,102.82
1976,7,33.01
1976,8,202.35
1976,9,386.73
1976,10,353.38
1976,11,189.82
1976,12,132.71
1977,1,96.6
1977,2,11.03
1977,3,7.96
1977,4,52.39
1977,5,89.14
1977,6,63.28
1977,7,66.05
1977,8,141.96
1977,9,576.03
1977,10,353.89
1977,11,237.95
1977,12,137.12
1978,1,133.75
1978,2,48.34
1978,3,25.75
1978,4,10.59
1978,5,96.32
1978,6,91.9
1978,7,525.29
1978,8,551.36
1978,9,660.02
1978,10,425.23
1978,11,185.14
1978,12,165.89
1979,1,57.68
1979,2,27.48
1979,3,4.8
1979,4,2.15
1979,5,64.82
1979,6,164.06
1979,7,39.48
1979,8,156.71
1979,9,131.35
1979,10,311
1979,11,93
1979,12,92.4
1980,1,17.44
1980,2,5.68
1980,3,2.41
1980,4,7.34
1980,5,38.5
1980,6,155.57
1980,7,137.4
1980,8,179.6
1980,9,637.02
1980,10,194.41
1980,11,123.23
1980,12,128.38
1981,1,53.91
1981,2,23.73
1981,3,5.75
1981,4,3.68
1981,5,139.12
1981,6,181.73
1981,7,304.53
1981,8,463.03
1981,9,377.97
1981,10,233.57
1981,11,269.29
1981,12,191.92
1982,1,81.53
1982,2,39.16
1982,3,20.28
1982,4,29.79
1982,5,49.52
1982,6,109.2
1982,7,43.8
1982,8,98.12
1982,9,290.61
1982,10,223.96
1982,11,112.39
1982,12,72.09
1983,1,28.18
1983,2,16.37
1983,3,7.19
1983,4,1.8
1983,5,10.19
1983,6,41.05
1983,7,19.06
1983,8,114.84
1983,9,343.35
1983,10,240.84
1983,11,303.98
1983,12,107.59
1984,1,37.24
1984,2,21.27
1984,3,7.19
1984,4,11
1984,5,69.99
1984,6,141.39
1984,7,106.84
1984,8,200.92
1984,9,353.69
1984,10,290.34
1984,11,133.42
1984,12,60.98
1985,1,17.23
1985,2,10.68
1985,3,13.06
1985,4,15.21
1985,5,51.59
1985,6,80.08
1985,7,71.05
1985,8,136.66
1985,9,257.84
1985,10,200.04
1985,11,315.39
1985,12,151.89
1986,1,50.1
1986,2,25.53
1986,3,43.61
1986,4,45.4
1986,5,106.04
